ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"#\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Learning Name\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_2\" Title=\"Learning Name\" Type=\"Text\" ID=\"{aea6c7d6-1d6a-4edf-82e2-8cf8cfad5534}\" StaticName=\"field_2\" />","<Field ID=\"{a7506883-8091-4635-9178-13d167e2aeb0}\" DisplayName=\"Description\" Name=\"field_3\" StaticName=\"field_3\" Type=\"Note\" />","<Field Name=\"field_4\" FromBaseType=\"FALSE\" Type=\"Note\" DisplayName=\"Technical area\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" NumLines=\"6\" RichText=\"FALSE\" RichTextMode=\"Compatible\" IsolateStyles=\"FALSE\" Sortable=\"FALSE\" ID=\"{e7c9fc25-c38a-4d3d-bee9-143aed15d130}\" StaticName=\"field_4\" CustomFormatter=\"\" RestrictedMode=\"TRUE\" AppendOnly=\"FALSE\" />","<Field ID=\"{de21ec7b-8588-40a0-ada8-2c38c997d2e1}\" DisplayName=\"Owner\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{2f4a96de-a845-4eac-b335-740141496112}\" DisplayName=\"Contact details\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{6d44ea99-4442-4b6b-b28a-703467e1b3a2}\" DisplayName=\"Developer\" Name=\"field_7\" StaticName=\"field_7\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Focus area\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_8\" Title=\"Focus area\" Type=\"Text\" ID=\"{d907a78f-13a2-4dbd-af10-3d4487a4c90f}\" StaticName=\"field_8\" />","<Field Name=\"field_9\" FromBaseType=\"FALSE\" Type=\"Note\" DisplayName=\"Language\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" NumLines=\"6\" RichText=\"FALSE\" Sortable=\"FALSE\" ID=\"{d9cfd906-fe29-40bc-9400-30ea31069f05}\" StaticName=\"field_9\" CustomFormatter=\"\" RestrictedMode=\"TRUE\" RichTextMode=\"Compatible\" IsolateStyles=\"FALSE\" AppendOnly=\"FALSE\" />","<Field ID=\"{c0f0cebd-376a-4119-98b1-d8330f556530}\" DisplayName=\"Platform\" Name=\"field_10\" StaticName=\"field_10\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{1e4a6821-0a93-4b1c-ab3a-52b83511cf2f}\" DisplayName=\"Intended audience\" Name=\"field_11\" StaticName=\"field_11\" Type=\"Text\" />","<Field ID=\"{073ebc50-46aa-48c2-8a3a-8957ddb1cd88}\" DisplayName=\"Modality\" Name=\"field_12\" StaticName=\"field_12\" Type=\"Note\" />","<Field ID=\"{b0666b1b-5863-4129-804a-b6bfd5db3222}\" DisplayName=\"Link\" Name=\"field_14\" StaticName=\"field_14\" Type=\"Note\" />","<Field ID=\"{542498ca-5bdf-4c3e-be33-0d4281b00310}\" DisplayName=\"Identified Gaps/ Deficiences\" Name=\"field_15\" StaticName=\"field_15\" Type=\"Text\" />","<Field ID=\"{02fd8d72-5973-4837-98eb-ecd0034359c8}\" DisplayName=\"Contributor\" Name=\"field_16\" StaticName=\"field_16\" Type=\"Number\" />","<Field ID=\"{faae5f17-c321-4c0c-a365-a29989adc941}\" DisplayName=\"Comment\" Name=\"field_17\" StaticName=\"field_17\" Type=\"Text\" />","<Field Type=\"Text\" DisplayName=\"Sign-off status\" Title=\"Sign-off status\" StaticName=\"_Flow_SignoffStatus\" ID=\"{81c5d389-440b-4b96-9e55-1bb152b9f45b}\" Name=\"_x0024_Resources_x003a_core_x002\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Number\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Learning Name","Description","Technical area","Focus area","Intended audience","Owner","Developer","Contact details","Language","Modality","Platform","Link","Comment","Sign-off status"
"Infodemic management: Developing an infodemic insights report","This course, which is part of the “Infodemic management course series” provides an overview of the steps the learners can take to plan for and develop an infodemic insights report. Developing an infodemic insights report is one of the key actions taken by infodemic managers to help health authorities and partners identify, questions, concerns, information voids, narratives and circulating mis- and disinformation on a particular health topic and propose preventive and corrective actions toward mitigating the infodemic.","Risk communication and community engagement (RCCE)","Infodemic","Member states/ MoH/WHO staff","WHO","HQ/WHE/EPP","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/499738/0_tbe4lkl3/0_u6k3jz0o
",,
"Infodemic Management: Social marketing and message testing methods","This course shows how social marketing and message testing methods can help public health authorities to design effective campaigns and interventions.","Risk communication and community engagement (RCCE)","Infodemic","Member states/ MoH/WHO staff","WHO","HQ/WHE/EPP","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/499738/0_upydku29/0_8zk7zfd2",,
"Infodemic Management: Using human-centered design good practices","This course helps public health workers to understand and use best practices of Human-Centered Design (HCD) to inform their work at different stages of their infodemic management process.","Risk communication and community engagement (RCCE)","Infodemic","Member states/ MoH/WHO staff","WHO","HQ/WHE/EPP","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/499738/0_st7yq8gd/0_ab9vz8fn
",,
"Infodemic Management: Working effectively as an infodemic manager in the field","This course introduces learners to the work of an infodemic manager in the field, during health emergencies or in routine. It explains what the principles of this new kind of job are. It also allows learners to discover what tasks and challenges an infodemic manager needs to handle, and how to master them.","Risk communication and community engagement (RCCE)","Infodemic","Member states/ MoH/WHO staff","WHO","HQ/WHE/EPP","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/499738/0_npzy2jre/0_7debt56o",,
"Interregional Field Simulation Exercise (IFX) Programme for Rapid Response Mobile Labs","Rapid Response Mobile Laboratories (RRMLs) provide critical laboratory diagnostic support in crisis situations and are an important asset of the global emergency workforce. In 2018, the Health Emergencies Programme (WHE) at the WHO Regional Office for Europe established the RRML Network, driven by the European partner institutions of the Global Outbreak Alert and Response Network (GOARN), to advance and integrate RRMLs into existing preparedness and response structures and to standardize RRML operations in the field.","Laboratory","GOARN"," ","WHO","HQ/WHE/GOARN","goarn@who.int","English","In-person","GOARN"," "," ",
"Introducing Mental Health and Psychosocial Support (MHPSS) in emergencies","Strengthening the competencies of health sector actors working in emergencies, to establish, support and scale up Mental Health and Psychosocial Support in countries.","Health services provision","Mental health","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English, Spanish, Polish, Ukrainian","Online","OpenWHO","https://openwho.org/playlist/dedicated/536361/0_fi0dbfix/0_blb84xc7
"," ",
"Introduction to Epidemic Intelligence from Open Sources","This series of videos provides an introduction to the EIOS Initiative and the EIOS System. This course provides an orientation of the key features and functionalities of the EIOS System.","Surveillance","IHR, surveillance","Health care workforce, public healht officers and policy makers/ Member states/ MoH/WHO staff","WHO","HQ/WHE/EIOS","eios@who.int","Arabic, English, French, Portuguese, Spanish","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0119EN+2025_Q1?source=edX",,
"Introduction to IHR Monitoring and Evaluation","Build M&E capacities necessary to monitor implementation of IHR among member states. * ""The training will need to be updated to align with the IHR amendments when they enter into force"" ","Research & monitoring and evaluation","IHR","WHO and partners staff.","WHO","HQ/WHE",,"English","Online","HSLP ","https://extranet.who.int/hslp/training/enrol/index.php?id=345"," ",
"Introduction to Marburg Virus Disease","Overview of the signs, symptoms, transmission routes, diagnosis, and epidemiology of the disease. It also discusses prevention and control strategies.","Health emergency preparedness and response management","Marburg Virus","WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English, Spanish, French, Dholuo, Kiswahili, Kirundi","Online","OpenWHO","https://openwho.org/media/MVD%20Module%201%3A%20Introduction/0_8004qjw3/536450
"," ",
"Introduction to Nipah virus disease","Discuss prevention and control strategies.","Health emergency preparedness and response management","Nipah virus","WHO staff/MoH/HCPs","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/channel/Nipah+virus+disease/538567
"," ",
"Introduction to oxygen systems","The course provides an overview of medical oxygen systems, their ecosystem, life cycle, and global procurement challenges, with a focus on standards and ethical considerations.","Health services provision","Oxygen supply management","WHO staff/MoH/HCPs","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/media/Oxygen%20ecosystem%20%20oxygen%20systems/0_gd4cunhh/500316",,
"Emergency Response Framework (ERF)","The Emergency Response Framework provides WHO staff with essential guidance on how the Organization manages the assessment, grading and response to public health events and emergencies with health consequences, in support of Member States and affected communities. Building on the principles of the ERF, this course provides an overview of WHO’s role in emergencies, the Incident Management System (IMS) and its key functions, and the process from verification to response to a public health emergency.","Health emergency preparedness and response management","WHO Emergency Framework","WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/channel/Emergency+Response+Framework/537832",,
"Introduction to the International Health Regulations (IHR)","This course, designed as an evolving scenario-based exercise in a fictional country, aims to equip participants with the knowledge needed to assess public health events and notify them to WHO as required under the International Health Regulations. * ""The training will need to be updated to align with the IHR amendments when they enter into force"" 
","IHR Coordination and National IHR Focal Point Functions","IHR","""National International Health Regulations Focal Points,WHO IHR Contact Points,  Other IHR stakeholders ""","WHO","HQ/WHE","whoasupport@who.int","English","Online","WHO Academy","https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOA+0092_IHR_EN+2024?from=discovery&amp;source=edX
",,
"Joint External Evaluation - Team Member Orientation","Describe the key steps of the Joint External Evaluation (JEE) process and the role of team members when facilitating technical discussions and drafting the Final Report","Research & monitoring and evaluation","JEE","JEE team members","WHO","HQ/WHE",,"English","Online","HSLP ","https://extranet.who.int/hslp/training/enrol/index.php?id=116"," ",
"Joint External Evaluation : Introduction","The course provides understanding of the JEE process, its objectives, principles, and methods. The course will also demonstrate how the JEE results can inform the strengthening of health security capacities and the development and implementation of the National Action Plan for Health Security (NAPHS).","Research & monitoring and evaluation","JEE"," Country teams, external experts and technical writers","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/501681/0_lse5ad3j/0_kdylw4pv",,
"Joint External Evaluation for Subject Matter Experts","This course aims to provide JEE subject matter experts (JEE SMEs) with an understanding of the JEE process, its objectives, principles, and methods. The course provides an in-depth focus on the role of JEE SMEs in conducting an effective evaluation and writing technical area reports.","Research & monitoring and evaluation","JEE"," JEE subject matter experts (JEE SMEs)","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/501681/0_kgk6qf51/0_hw05biam",,
"Joint External Evaluation for Technical Writers","This course aims to provide technical writers with an understanding of the JEE process, its objectives, principles, and the importance of coming up with a JEE report that reflects the results of the evaluation.","Research & monitoring and evaluation","JEE","Technical writers","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/501681/0_emyia387/0_6htlnfwz
",,
"Laboratory Quality Management System - Basics","Aimed to the laboratorian who wants to acquire knowledge about five of the building blocks considered as the basics of a laboratory quality management system.","Laboratory","Laboratory quality","Laboratory managers, senior biologists and technologists","WHO","HQ/WHE",,"English, French, Russian, Spanish","Online","HSLP ","https://extranet.who.int/hslp/training/course/index.php?categoryid=41",,
"Laboratory Quality Management System Training Toolkit","Intend to provide comprehensive materials that will allow for designing and organizing training workshops for all stakeholders in health laboratory processes, from management, to administration, to bench-work laboratorians.","Laboratory","Laboratory quality","Public health institutions (schools of medicine, public health, etc.), ministries and other organizations","WHO","HQ/WHE",,"English","Training toolkits and packages","HSLP ","https://extranet.who.int/hslp/content/LQMS-training-toolkit",,
"Lassa fever Introduction","General introduction to Lassa fever through a downloadable presentation that can be reviewed at your own pace and quizzes to test your knowledge","Health services provision","Lassa fever","WHO staff/MoH/HCPs","WHO","HQ/WHE","WHEtraining@who.int","English, French","Online","OpenWHO","https://openwho.org/playlist/dedicated/538566/0_0p8pqfkf/0_konoi3f8"," ",
"Leadership in Emergencies Phase 1","Personal leadership development in emergency setting. The phase one includes online self-paced learning (https://openwho.org/channel/Ready4Response/494536) and eight weeks of online classes focused on developing leadership skills.","Leadership ","Leadership in emergencies","MoH and WHO (emergencies) staff: Incident Manager, Health Cluster Coordinator and Function Team Leads","WHO","HQ/WHE/LCD","whetraining@who.int","English","Online"," "," ",,
"Leadership in Emergencies Phase 2","The phase 2 course consists of two elements; an online module and a face-to-face workshop ","Leadership ","Leadership in emergencies","MoH and WHO (emergencies) staff: Incident Manager, Health Cluster Coordinator and Function Team Leads","WHO","HQ/WHE/LCD","whetraining@who.int","English","Blended"," "," ",,
"Learning package for Rapid Response Teams in the context of COVID-19 in India","Short course for COVID-19 rapid response team in India and provides basic information emergency response through five modules.","Health emergency preparedness and response management","COVID-19","COVID-19 Responders in India","WHO","SEARO/WCO/INDIA","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/528113/0_gdfrptxs/0_fe1db3j1",,
