source_row,learning_name,platform,modality,languages,link,final_url,ok,status_code,checked_at_utc,error
17,Infodemic Management: Defining a taxonomy for social listening,OpenWHO,online,English,https://openwho.org/playlist/dedicated/499738/0_fsg88i20/0_mbihfi83,https://openwho.org/playlist/dedicated/499738/0_fsg88i20/0_mbihfi83,true,200,2026-01-29T09:13:19.809207+00:00,
18,Infodemic management: Developing an infodemic insights report,OpenWHO,online,English,https://openwho.org/playlist/dedicated/499738/0_tbe4lkl3/0_u6k3jz0o,https://openwho.org/playlist/dedicated/499738/0_tbe4lkl3/0_u6k3jz0o,true,200,2026-01-29T09:13:20.419413+00:00,
19,Infodemic Management: Social marketing and message testing methods,OpenWHO,online,English,https://openwho.org/playlist/dedicated/499738/0_upydku29/0_8zk7zfd2,https://openwho.org/playlist/dedicated/499738/0_upydku29/0_8zk7zfd2,true,200,2026-01-29T09:13:20.949129+00:00,
20,Infodemic Management: Using human-centered design good practices,OpenWHO,online,English,https://openwho.org/playlist/dedicated/499738/0_st7yq8gd/0_ab9vz8fn,https://openwho.org/playlist/dedicated/499738/0_st7yq8gd/0_ab9vz8fn,true,200,2026-01-29T09:13:21.481512+00:00,
21,Infodemic Management: Working effectively as an infodemic manager in the field,OpenWHO,online,English,https://openwho.org/playlist/dedicated/499738/0_npzy2jre/0_7debt56o,https://openwho.org/playlist/dedicated/499738/0_npzy2jre/0_7debt56o,true,200,2026-01-29T09:13:21.984395+00:00,
22,Interregional Field Simulation Exercise (IFX) Programme for Rapid Response Mobile Labs,GOARN,in_person,English,,,false,,2026-01-29T09:13:22.522707+00:00,empty url
23,Introducing Mental Health and Psychosocial Support (MHPSS) in emergencies,OpenWHO,online,"English, Spanish, Polish, Ukrainian",https://openwho.org/playlist/dedicated/536361/0_fi0dbfix/0_blb84xc7,https://openwho.org/playlist/dedicated/536361/0_fi0dbfix/0_blb84xc7,true,200,2026-01-29T09:13:22.522707+00:00,
24,Introduction to Epidemic Intelligence from Open Sources,WHO Academy,online,"Arabic, English, French, Portuguese, Spanish",https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0119EN+2025_Q1?source=edX,https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0119EN+2025_Q1?source=edX,true,200,2026-01-29T09:13:23.129346+00:00,
25,Introduction to IHR Monitoring and Evaluation,HSLP,online,English,https://extranet.who.int/hslp/training/enrol/index.php?id=345,https://extranet.who.int/hslp/training/enrol/index.php?id=345,false,,2026-01-29T09:13:23.472475+00:00,"HTTPSConnectionPool(host='extranet.who.int', port=443): Read timed out. (read timeout=20.0)"
26,Introduction to Marburg Virus Disease,OpenWHO,online,"English, Spanish, French, Dholuo, Kiswahili, Kirundi",https://openwho.org/media/MVD%20Module%201%3A%20Introduction/0_8004qjw3/536450,https://openwho.org/media/MVD%20Module%201%3A%20Introduction/0_8004qjw3/536450,true,200,2026-01-29T09:15:30.699642+00:00,
27,Introduction to Nipah virus disease,OpenWHO,online,English,https://openwho.org/channel/Nipah+virus+disease/538567,https://openwho.org/channel/Nipah+virus+disease/538567,true,200,2026-01-29T09:15:31.239377+00:00,
28,Introduction to oxygen systems,OpenWHO,online,English,https://openwho.org/media/Oxygen%20ecosystem%20%20oxygen%20systems/0_gd4cunhh/500316,https://openwho.org/media/Oxygen%20ecosystem%20%20oxygen%20systems/0_gd4cunhh/500316,true,200,2026-01-29T09:15:31.973757+00:00,
29,Emergency Response Framework (ERF),OpenWHO,online,English,https://openwho.org/channel/Emergency+Response+Framework/537832,https://openwho.org/channel/Emergency+Response+Framework/537832,true,200,2026-01-29T09:15:32.545347+00:00,
30,Introduction to the International Health Regulations (IHR),WHO Academy,online,English,https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOA+0092_IHR_EN+2024?from=discovery&source=edX,https://whoacademy.org/coursewares/course-v1:WHOA+0092_IHR_EN+2024?from=discovery&source=edX,true,200,2026-01-29T09:15:35.632809+00:00,
31,Joint External Evaluation - Team Member Orientation,HSLP,online,English,https://extranet.who.int/hslp/training/enrol/index.php?id=116,https://extranet.who.int/hslp/training/enrol/index.php?id=116,false,,2026-01-29T09:15:35.897370+00:00,"HTTPSConnectionPool(host='extranet.who.int', port=443): Read timed out. (read timeout=20.0)"
32,Joint External Evaluation : Introduction,OpenWHO,online,English,https://openwho.org/playlist/dedicated/501681/0_lse5ad3j/0_kdylw4pv,https://openwho.org/playlist/dedicated/501681/0_lse5ad3j/0_kdylw4pv,true,200,2026-01-29T09:17:43.176585+00:00,
33,Joint External Evaluation for Subject Matter Experts,OpenWHO,online,English,https://openwho.org/playlist/dedicated/501681/0_kgk6qf51/0_hw05biam,https://openwho.org/playlist/dedicated/501681/0_kgk6qf51/0_hw05biam,true,200,2026-01-29T09:17:43.772350+00:00,
34,Joint External Evaluation for Technical Writers,OpenWHO,online,English,https://openwho.org/playlist/dedicated/501681/0_emyia387/0_6htlnfwz,https://openwho.org/playlist/dedicated/501681/0_emyia387/0_6htlnfwz,true,200,2026-01-29T09:17:44.349385+00:00,
35,Laboratory Quality Management System - Basics,HSLP,online,"English, French, Russian, Spanish",https://extranet.who.int/hslp/training/course/index.php?categoryid=41,https://extranet.who.int/hslp/training/course/index.php?categoryid=41,false,,2026-01-29T09:17:44.871504+00:00,"HTTPSConnectionPool(host='extranet.who.int', port=443): Read timed out. (read timeout=20.0)"
36,Laboratory Quality Management System Training Toolkit,HSLP,toolkit,English,https://extranet.who.int/hslp/content/LQMS-training-toolkit,https://extranet.who.int/hslp/content/LQMS-training-toolkit,true,200,2026-01-29T09:19:52.125671+00:00,
37,Lassa fever Introduction,OpenWHO,online,"English, French",https://openwho.org/playlist/dedicated/538566/0_0p8pqfkf/0_konoi3f8,https://openwho.org/playlist/dedicated/538566/0_0p8pqfkf/0_konoi3f8,true,200,2026-01-29T09:19:53.465476+00:00,
38,Leadership in Emergencies Phase 1,,online,English,,,false,,2026-01-29T09:19:53.875384+00:00,empty url
39,Leadership in Emergencies Phase 2,,blended,English,,,false,,2026-01-29T09:19:53.875384+00:00,empty url
40,Learning package for Rapid Response Teams in the context of COVID-19 in India,OpenWHO,online,English,https://openwho.org/playlist/dedicated/528113/0_gdfrptxs/0_fe1db3j1,https://openwho.org/playlist/dedicated/528113/0_gdfrptxs/0_fe1db3j1,true,200,2026-01-29T09:19:53.875384+00:00,
41,Management and Facilitation of a Country COVID-19 Intra-Action Review (IAR),OpenWHO,online,"Arabic, English, Kazakh, Spanish, Portuguese, Russian, Tajik",https://openwho.org/playlist/dedicated/552620/0_dahrllhn/0_xerri6jz,https://openwho.org/playlist/dedicated/552620/0_dahrllhn/0_xerri6jz,true,200,2026-01-29T09:19:54.224383+00:00,
42,Management and Facilitation of an After Action Review AAR,OpenWHO,online,English,https://openwho.org/playlist/dedicated/496674/0_bmn0kb3y/0_rvnw5fvh,https://openwho.org/playlist/dedicated/496674/0_bmn0kb3y/0_rvnw5fvh,true,200,2026-01-29T09:19:54.602677+00:00,
43,Management of ill travelers at points of entry in the context of the COVID-19 outbreak,HSLP,online,"Arabic, English, French, Russian",https://extranet.who.int/hslp/training/course/view.php?id=325,https://extranet.who.int/hslp/training/course/view.php?id=325,false,,2026-01-29T09:19:55.003646+00:00,"HTTPSConnectionPool(host='extranet.who.int', port=443): Read timed out. (read timeout=20.0)"
44,Mass Casualty Management,WHO Academy,online,English,https://whoacademy.org/coursewares/course-v1:WHOA+0002_MCM_EN+2025?source=edX,https://whoacademy.org/coursewares/course-v1:WHOA+0002_MCM_EN+2025?source=edX,true,200,2026-01-29T09:22:02.257893+00:00,
45,Monitoring and evaluation of national action plans on antimicrobial resistance,WHO Academy,online,English,https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOAcademy-Hosted+H0041EN+H0041EN_Q4_2024?source=edX,https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0041EN+H0041EN_Q4_2024?source=edX,true,200,2026-01-29T09:22:02.364856+00:00,
46,Mpox and the 2022-2023 global outbreak,OpenWHO,online,"English, French, Spanish",https://openwho.org/playlist/dedicated/503162/0_db1xy1c7/0_p02ol27o,https://openwho.org/playlist/dedicated/503162/0_db1xy1c7/0_p02ol27o,true,200,2026-01-29T09:22:02.579147+00:00,
47,"Mpox: Epidemiology, preparedness and response for African outbreak contexts",OpenWHO,online,"Arabic, Chinese, English, French, Portuguese, Russian, Spanish",https://openwho.org/playlist/dedicated/503162/0_2y98iloq/0_25is3ot2,https://openwho.org/playlist/dedicated/503162/0_2y98iloq/0_25is3ot2,true,200,2026-01-29T09:22:03.108895+00:00,
48,Mpox: Introductory course for African outbreak contexts,OpenWHO,online,English,https://openwho.org/playlist/dedicated/503162/0_k5teeccu/0_mtu9ipu1,https://openwho.org/playlist/dedicated/503162/0_k5teeccu/0_mtu9ipu1,true,200,2026-01-29T09:22:03.632116+00:00,
49,Multi-Hazard Response Framework: Hospital Planning for Health Emergency and Disaster Response,Virtual campus for public health,online,Spanish,https://www.campusvirtualsp.org/es/node/30623,https://campus.paho.org/es/curso/respuesta-multiamenaza-planeamiento-hospitalario-emergencias,true,200,2026-01-29T09:22:03.962926+00:00,
50,National Action Plans for Health Security (NAPHS),OpenWHO,online,English,https://openwho.org/playlist/dedicated/500114/0_xiddrvt4/0_0ft4cjao,https://openwho.org/playlist/dedicated/500114/0_xiddrvt4/0_0ft4cjao,true,200,2026-01-29T09:22:05.043528+00:00,
51,National health emergency risk communication: training package,,toolkit,English,https://www.who.int/europe/publications/i/item/WHO-EURO-2018-2993-42751-59637,https://www.who.int/europe/publications/i/item/WHO-EURO-2018-2993-42751-59637,true,200,2026-01-29T09:22:05.543851+00:00,
52,National IHR Focal Point Workshop,,in_person,English,,,false,,2026-01-29T09:22:05.766176+00:00,empty url
53,Next Generation Sequencing (NGS) for Influenza and SARS-CoV-2: From Sample Collection to Analysis,OpenWHO,online,English,https://openwho.org/playlist/dedicated/529855/0_5c4mlcg4/0_cv4xqt8h,https://openwho.org/playlist/dedicated/529855/0_5c4mlcg4/0_cv4xqt8h,true,200,2026-01-29T09:22:05.766176+00:00,
54,ONE HEALTH: Basics of multisectoral collaboration at the Human - Animal - Environment interface,WHO Academy,online,English,https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOA+0094_OH_EN+2024?from=discovery&source=edX,https://whoacademy.org/coursewares/course-v1:WHOA+0094_OH_EN+2024?from=discovery&source=edX,true,200,2026-01-29T09:22:06.153238+00:00,
55,Operational Considerations for Managing COVID-19 Cases and Outbreaks in Aviation,HSLP,online,English,https://extranet.who.int/hslp/training/enrol/index.php?id=328,https://extranet.who.int/hslp/training/enrol/index.php?id=328,false,,2026-01-29T09:22:06.304202+00:00,"HTTPSConnectionPool(host='extranet.who.int', port=443): Read timed out. (read timeout=20.0)"
56,Operational Considerations for Managing COVID-19 Cases and Outbreaks on Board Ships,HSLP,online,English,https://extranet.who.int/hslp/training/enrol/index.php?id=326,https://extranet.who.int/hslp/training/enrol/index.php?id=326,false,,2026-01-29T09:24:13.523204+00:00,"HTTPSConnectionPool(host='extranet.who.int', port=443): Read timed out. (read timeout=20.0)"
57,Operational Planning Guidelines for COVID-19 for UNCT and other partners,Virtual campus for public health,online,Spanish,https://www.campusvirtualsp.org/es/node/28952,https://campus.paho.org/es/curso/curso-cerrado-directrices-de-planificacion-operativa-para-la-covid-19-para-el-sistema-unct-y,true,200,2026-01-29T09:26:20.717742+00:00,
58,Orientation on the relevance of gender for health emergencies,,blended,English,,,false,,2026-01-29T09:26:21.884721+00:00,empty url
59,Orientation to International Outbreak Response with GOARN/WHO,GOARN,blended,English,,,false,,2026-01-29T09:26:21.884721+00:00,empty url
60,Preparedness and Resilience for Emerging Threats (PRET),OpenWHO,online,English,https://openwho.org/playlist/dedicated/536083/0_aht29z8m/0_9w81mlf1,https://openwho.org/playlist/dedicated/536083/0_aht29z8m/0_9w81mlf1,true,200,2026-01-29T09:26:21.884721+00:00,
61,Personal well-being for deployment,GOARN,online,English,https://goarnlms.org/group/49,https://goarn.who.int/lms/group/49,false,404,2026-01-29T09:26:22.348719+00:00,
62,Prevention & response to sexual exploitation & abuse for public health practitioners in Ukraine,OpenWHO,online,English,https://openwho.org/channel/PRSEAH+for+public+health+practitioners+in+Ukraine/527797,https://openwho.org/channel/PRSEAH+for+public+health+practitioners+in+Ukraine/527797,true,200,2026-01-29T09:26:23.398698+00:00,
63,Ready4Response Tier 1: Response context and principles,OpenWHO,online,"English, French, Ukrainian",https://openwho.org/playlist/dedicated/494536/0_zaoidkyu/0_08q2gf61,https://openwho.org/playlist/dedicated/494536/0_zaoidkyu/0_08q2gf61,true,200,2026-01-29T09:26:23.741196+00:00,
64,"Ready4Response Tier 2: Systems, structures and skills",OpenWHO,online,"English, French, Ukrainian",https://openwho.org/playlist/dedicated/494536/0_a0z75vwt/0_loggfb63,https://openwho.org/playlist/dedicated/494536/0_a0z75vwt/0_loggfb63,true,200,2026-01-29T09:26:24.335116+00:00,
65,Regulatory preparedness to authorize the use of pandemic vaccines in importing countries,WHO Academy,online,English,https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOA+0027_REGPREP_EN+2023?from=discovery&source=edX,https://whoacademy.org/coursewares/course-v1:WHOA+0027_REGPREP_EN+2023?from=discovery&source=edX,true,200,2026-01-29T09:26:24.734991+00:00,
66,Response Preparedness for Zoonotic Disease Outbreaks Using a One-Health Approach,OpenWHO,online,English,https://openwho.org/playlist/dedicated/525718/0_drmgsh37/0_7hsnn5w1,https://openwho.org/playlist/dedicated/525718/0_drmgsh37/0_7hsnn5w1,true,200,2026-01-29T09:26:25.068252+00:00,
67,Risk communication essentials,OpenWHO,online,English,https://openwho.org/playlist/dedicated/501691/0_8e5kljir/0_2q00gfhv,https://openwho.org/playlist/dedicated/501691/0_8e5kljir/0_2q00gfhv,true,200,2026-01-29T09:26:25.696876+00:00,
68,SARS-CoV-2 antigen rapid diagnostic testing,OpenWHO,online,"Arabic, English, Kazakh, Portuguese, Russian, Spanish, Tajik",https://openwho.org/playlist/dedicated/529855/0_9v311fgo/0_tkgay1wn,https://openwho.org/playlist/dedicated/529855/0_9v311fgo/0_tkgay1wn,true,200,2026-01-29T09:26:26.221140+00:00,
69,Strengthening collaboration between human and animal health sectors for improved health security,OpenWHO,online,English,https://openwho.org/playlist/dedicated/525718/0_frz2e7kc/0_e9jqd26k,https://openwho.org/playlist/dedicated/525718/0_frz2e7kc/0_e9jqd26k,true,200,2026-01-29T09:26:26.650411+00:00,
70,Strengthening the health sector's role in the sound management of chemicals,WHO Academy,online,English,https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOA+0033_CMM_EN+2023?from=discovery&source=edX,https://whoacademy.org/coursewares/course-v1:WHOA+0033_CMM_EN+2023?from=discovery&source=edX,true,200,2026-01-29T09:26:27.158890+00:00,
71,The Joint Risk Assessment (JRA OT): A Training for Implementers,OpenWHO,online,English,https://openwho.org/media/JRA%20Training%20for%20implementers%3A%20Overview%20/0_5wvf6ayl/525718,https://openwho.org/media/JRA%20Training%20for%20implementers%3A%20Overview%20/0_5wvf6ayl/525718,true,200,2026-01-29T09:26:27.338958+00:00,
72,The Role of Parliaments and Parliamentarians in Strengthening Health Security Preparedness,OpenWHO,online,"English, transcripts available in all official UN languages",https://openwho.org/playlist/dedicated/538740/0_q449ey6u/0_iq88tn96,https://openwho.org/playlist/dedicated/538740/0_q449ey6u/0_iq88tn96,true,200,2026-01-29T09:26:27.732738+00:00,
73,Use of Epidemic Intelligence systems with a particular focus on event-based surveillance for pandemic preparedness,WHO Academy,online,English,https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0118EN+2025_Q1?source=edX,https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0118EN+2025_Q1?source=edX,true,200,2026-01-29T09:26:28.288692+00:00,
74,Wheelchairs in emergencies,WHO Academy,online,English,https://web-staging.lxp.academy.who.int/coursewares/wheelchairs-in-emergencies-en?source=gateway,https://whoacademy.org/coursewares/wheelchairs-in-emergencies-en?source=gateway,true,200,2026-01-29T09:26:28.426460+00:00,
75,WHO costing and budgeting tool for national action plans on antimicrobial resistance,WHO Academy,online,"English, French, Spanish",https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOAcademy-Hosted+H0043EN+H0043EN_Q4_2024?source=edX,https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0043EN+H0043EN_Q4_2024?source=edX,true,200,2026-01-29T09:26:28.622453+00:00,
76,WHO Standard Operating Procedures (SOPs) for Emergencies,OpenWHO,online,English,https://openwho.org/channel/WHO+Standard+Operating+Procedures+for+Emergencies/495160,https://openwho.org/channel/WHO+Standard+Operating+Procedures+for+Emergencies/495160,true,200,2026-01-29T09:26:28.811801+00:00,
77,WHO/ICRC Basic Emergency Care: Conflict-Related Injuries,OpenWHO,online,English,https://openwho.org/playlist/dedicated/537171/0_an1ufwse/0_tk4xv7rb,https://openwho.org/playlist/dedicated/537171/0_an1ufwse/0_tk4xv7rb,true,200,2026-01-29T09:26:29.272757+00:00,
78,WHO-ICRC Basic Emergency Care: approach to the acutely ill and injured,OpenWHO,online,English,https://openwho.org/playlist/dedicated/537171/0_7mm5wr4l/0_lic60gzx,https://openwho.org/playlist/dedicated/537171/0_7mm5wr4l/0_lic60gzx,true,200,2026-01-29T09:26:29.727842+00:00,
79,Kazakhstan Country-Focused Leadership in Emergencies Course,,in_person,"English, Kazakh",,,false,,2026-01-29T09:26:30.212885+00:00,empty url
80,An integrated approach to building health systems resilience,WHO Academy,online,English,https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOAcademy-Hosted+H0060EN+H0060EN_Q4_2024?source=edX,https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0060EN+H0060EN_Q4_2024?source=edX,true,200,2026-01-29T09:26:30.212885+00:00,
81,Advancing national civil-military collaboration to strengthen health emergency preparedness,OpenWHO,online,"English, transcripts available in all official UN languages",https://openwho.org/playlist/dedicated/527251/0_5qpallbj/0_iq88tn96,https://openwho.org/playlist/dedicated/527251/0_5qpallbj/0_iq88tn96,true,200,2026-01-29T09:26:30.361083+00:00,
82,An introduction to the people-centred approach to addressing antimicrobial resistance in human health,WHO Academy,online,English,https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOAcademy-Hosted+H0040EN+H0040EN_Q4_2024?from=discovery&source=edX,https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0040EN+H0040EN_Q4_2024?from=discovery&source=edX,true,200,2026-01-29T09:26:30.735597+00:00,
83,Antimicrobial Stewardship: A competency-based approach,WHO Academy,online,English,https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOAcademy-Hosted+H0098EN+H0098EN_Q4_2024?source=edX,https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0098EN+H0098EN_Q4_2024?source=edX,true,200,2026-01-29T09:26:30.895117+00:00,
84,Assistive products in emergencies,WHO Academy,online,English,https://web-staging.lxp.academy.who.int/coursewares/assistive-products-in-emergencies-en?source=gateway,https://whoacademy.org/coursewares/assistive-products-in-emergencies-en?source=gateway,true,200,2026-01-29T09:26:31.067617+00:00,
85,Avian and other zoonotic influenza: Introduction,OpenWHO,online,English,https://openwho.org/media/Introduction%20Zoonotic%20Influenza/0_cq1foy2r/503150,https://openwho.org/media/Introduction%20Zoonotic%20Influenza/0_cq1foy2r/503150,true,200,2026-01-29T09:26:31.221375+00:00,
86,Basic Emergency Care Provider Course,,in_person,English,,,false,,2026-01-29T09:26:31.594519+00:00,empty url
87,Basic Precautions: Hand Hygiene (COVID-19),Virtual campus for public health,online,Spanish,https://www.campusvirtualsp.org/es/node/29045,https://campus.paho.org/es/curso/precauciones-higiene-manos,true,200,2026-01-29T09:26:31.594519+00:00,
88,CBDE Awareness: Recognizing Signs of Deliberate Release of Chemical or Biological Agents,OpenWHO,online,English,https://openwho.org/playlist/dedicated/501116/0_gax9z8nk/0_31qixco6,https://openwho.org/playlist/dedicated/501116/0_gax9z8nk/0_31qixco6,true,200,2026-01-29T09:26:32.540018+00:00,
89,CBDE: Preparedness for Health First Responders,OpenWHO,online,English,https://openwho.org/playlist/dedicated/501116/0_w27tnxn2/0_bfjewsep,https://openwho.org/playlist/dedicated/501116/0_w27tnxn2/0_bfjewsep,true,200,2026-01-29T09:26:32.995309+00:00,
90,CBDE: Preparedness for Public Health Professionals,OpenWHO,online,English,https://openwho.org/playlist/dedicated/501116/0_y3z538el/0_vv1olcc3,https://openwho.org/playlist/dedicated/501116/0_y3z538el/0_vv1olcc3,true,200,2026-01-29T09:26:33.529883+00:00,
91,Chemical Hazards Part I: An Introduction to Chemical Hazards,WHO Academy,online,English,https://whoacademy.org/coursewares/course-v1:WHOA+0037A_CHEMHAZ_EN+2024?source=edX,https://whoacademy.org/coursewares/course-v1:WHOA+0037A_CHEMHAZ_EN+2024?source=edX,true,200,2026-01-29T09:26:34.141346+00:00,
92,Chemical Hazards Part II: Elements for Assessment,WHO Academy,online,English,https://whoacademy.org/coursewares/course-v1:WHOA+0037B_CHEMHAZ_EN+2024?source=edX,https://whoacademy.org/coursewares/course-v1:WHOA+0037B_CHEMHAZ_EN+2024?source=edX,true,200,2026-01-29T09:26:34.358717+00:00,
93,Chemical Hazards Part III: Immediate Actions at the Event Site,WHO Academy,online,English,https://whoacademy.org/coursewares/course-v1:WHOA+0037C_CHEMHAZ_EN+2024?source=edX,https://whoacademy.org/coursewares/course-v1:WHOA+0037C_CHEMHAZ_EN+2024?source=edX,true,200,2026-01-29T09:26:34.623850+00:00,
94,"Chemical, Biological, Radiological and Nuclear (CBRN) considerations in Mass Gatherings",HSLP,online,English,https://extranet.who.int/hslp/training/enrol/index.php?id=388,https://extranet.who.int/hslp/training/enrol/index.php?id=388,false,,2026-01-29T09:26:34.747972+00:00,"HTTPSConnectionPool(host='extranet.who.int', port=443): Read timed out. (read timeout=20.0)"
95,Cholera Outbreaks: Emergency Preparedness and Response,OpenWHO,online,"English, Pashto",https://openwho.org/playlist/dedicated/493105/0_txbklgi0/0_rusjh8yz,https://openwho.org/playlist/dedicated/493105/0_txbklgi0/0_rusjh8yz,true,200,2026-01-29T09:28:42.046288+00:00,
96,Clinical management of COVID-19 respiratory equipment,OpenWHO,online,English,https://openwho.org/playlist/dedicated/529855/0_hor2h1ly/0_jdpzzxap,https://openwho.org/playlist/dedicated/529855/0_hor2h1ly/0_jdpzzxap,true,200,2026-01-29T09:28:42.496342+00:00,
97,Clinical management of patients with COVID19 General considerations,OpenWHO,online,"English, Russian",https://openwho.org/playlist/dedicated/500316/0_5lox1o7u/0_tu656kc3,https://openwho.org/playlist/dedicated/500316/0_5lox1o7u/0_tu656kc3,true,200,2026-01-29T09:28:42.872765+00:00,
98,Clinical management of patients with COVID19 Initial approach to the acutely ill patient,OpenWHO,online,"English, Russian",https://openwho.org/playlist/dedicated/500316/0_xfe055ah/0_sgcgs6yg,https://openwho.org/playlist/dedicated/500316/0_xfe055ah/0_sgcgs6yg,true,200,2026-01-29T09:28:43.341293+00:00,
99,Clinical management of patients with COVID19 Investigations and care for mild moderate and severe disease,OpenWHO,online,"English, Russian",https://openwho.org/playlist/dedicated/500316/0_5f1x2wvv/0_jlfj5odb,https://openwho.org/playlist/dedicated/500316/0_5f1x2wvv/0_jlfj5odb,true,200,2026-01-29T09:28:43.811631+00:00,
100,Clinical management of patients with COVID19 Rehabilitation of patients with COVID19,OpenWHO,online,"Armenian, Chinese, English, French, Macedonian, Russian, Ukrainian",https://openwho.org/playlist/dedicated/500316/0_ic95heel/0_ebpgu9oh,https://openwho.org/playlist/dedicated/500316/0_ic95heel/0_ebpgu9oh,true,200,2026-01-29T09:28:44.234925+00:00,
101,Controlling the Spread of COVID-19 at Ground Crossings,HSLP,online,English,https://extranet.who.int/hslp/training/enrol/index.php?id=333,https://extranet.who.int/hslp/training/enrol/index.php?id=333,false,,2026-01-29T09:28:45.768474+00:00,"HTTPSConnectionPool(host='extranet.who.int', port=443): Read timed out. (read timeout=20.0)"
